store_nbr,family,sales
1,AUTOMOTIVE,5.099451162849911e-06
1,BABY CARE,0.0
1,BEAUTY,3.777785190231824e-06
1,BEVERAGES,0.002490366107076172
1,BOOKS,1.9652679367330248e-07
1,BREAD/BAKERY,0.0005308945072515732
1,CELEBRATION,1.5634591272986044e-05
1,CLEANING,0.001004545308751178
1,DAIRY,0.0009820322796996264
1,DELI,0.00019283570202715988
1,EGGS,0.00022028325054264492
1,FROZEN FOODS,0.00020297807346164148
1,GROCERY I,0.0034870214704756605
1,GROCERY II,3.4259929154905616e-05
1,HARDWARE,2.509209394103682e-06
1,HOME AND KITCHEN I,2.329075356679906e-05
1,HOME AND KITCHEN II,2.030093836447062e-05
1,HOME APPLIANCES,5.29970358294356e-07
1,HOME CARE,0.00015839687007426146
1,LADIESWEAR,1.4748823591548554e-05
1,LAWN AND GARDEN,1.4128506792560784e-05
1,LINGERIE,1.0537934329951394e-05
1,"LIQUOR,WINE,BEER",0.0001584425089979107
1,MAGAZINES,5.028664260863318e-06
1,MEATS,0.0004914178454267965
1,PERSONAL CARE,0.00020261260443093926
1,PET SUPPLIES,5.448728639757438e-06
1,PLAYERS AND ELECTRONICS,8.301627071138129e-06
1,POULTRY,0.00044579110774272323
1,PREPARED FOODS,0.000126652261177192
1,PRODUCE,0.0022757336701358737
1,SCHOOL AND OFFICE SUPPLIES,2.6917650887006834e-07
1,SEAFOOD,4.0692232108436986e-05
2,AUTOMOTIVE,8.47580010628935e-06
2,BABY CARE,7.82381548272863e-08
2,BEAUTY,7.391642817968382e-06
2,BEVERAGES,0.0038689810737490772
2,BOOKS,2.2260617861573126e-07
2,BREAD/BAKERY,0.0008608737787975576
2,CELEBRATION,1.246594600248095e-05
2,CLEANING,0.0015143451256057756
2,DAIRY,0.0013383008945849356
2,DELI,0.0003832599311864156
2,EGGS,0.0002931471892585807
2,FROZEN FOODS,0.00025208439388424875
2,GROCERY I,0.006139556455301154
2,GROCERY II,4.907115698899498e-05
2,HARDWARE,1.8367338252310544e-06
2,HOME AND KITCHEN I,2.7615274434216802e-05
2,HOME AND KITCHEN II,2.25996498658247e-05
2,HOME APPLIANCES,7.507137236999138e-07
2,HOME CARE,0.0002781375718176079
2,LADIESWEAR,2.751281970765726e-05
2,LAWN AND GARDEN,1.29120897663175e-05
2,LINGERIE,1.4622152293256758e-05
2,"LIQUOR,WINE,BEER",0.00013567986297619583
2,MAGAZINES,6.015955262255265e-06
2,MEATS,0.0007916171678411878
2,PERSONAL CARE,0.0004124603753701923
2,PET SUPPLIES,8.513056370492819e-06
